"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R5,R48,R20,R4,R11,R10,R19,R50,R21,R1,R14,R15,R2,R46,R18,R16,R3,R13,R6,R47,R17,R49,R12";"R_0402_1005Metric";23;"10K";;;
2;"C17,C14,C12,C13,C16,C19";"C_0603_1608Metric";6;"10u";;;
3;"C2,C4,C8,C1,C15,C18,C3";"C_0603_1608Metric";7;"100n";;;
4;"L1,L2";"L_Taiyo-Yuden_NR-30xx_HandSoldering";2;"2.2u";;;
5;"R40,R38,R37,R41";"R_0402_1005Metric";4;"R";;;
6;"R36,R26,R31";"R_0402_1005Metric";3;"800";;;
7;"U12,U9";"SOIC-8_3.9x4.9mm_P1.27mm";2;"TCAN330";;;
8;"R22,R24";"R_0402_1005Metric";2;"200";;;
9;"D4,D1";"D_SOD-123";2;"MBR0520";;;
10;"J11,J2,J1";"PinHeader_1x02_P1.00mm_Vertical";3;"C1";;;
11;"D3,D2";"D_SOD-323";2;"1N5819WS";;;
12;"U13,U16";"Texas_DRC0010J";2;"TPS63001";;;
13;"Q1,Q2";"SOT-523";2;"DMG1012T";;;
14;"R39,R42";"R_0402_1005Metric";2;"560";;;
15;"R25,R30,R35";"R_0402_1005Metric";3;"5K";;;
16;"J7,J5,J6";"PinHeader_1x04_P1.00mm_Vertical";3;"SSC1";;;
17;"R9,R7,R8";"R_0402_1005Metric";3;"80K";;;
18;"U6,U2,U4";"VSON-8_3.3x3.3mm_P0.65mm_NexFET";3;"TPS2115";;;
19;"U15";"TSOP-6_1.65x3.05mm_P0.95mm";1;"74LVC2G14";;;
20;"R23,R27";"R_0402_1005Metric";2;"1M";;;
21;"J4";"PinHeader_1x04_P1.00mm_Vertical";1;"POWER CONNECTION";;;
22;"J3";"PinHeader_1x02_P1.00mm_Vertical";1;"SOLENOID  1 OUT";;;
23;"J8,J9";"PinHeader_1x05_P1.00mm_Vertical";2;"Conn_01x05_Socket";;;
24;"J10";"PinHeader_1x02_P1.00mm_Vertical";1;"SOLENOID 2 OUT";;;
25;"TP13,TP10";"TestPoint_Pad_D1.0mm";2;"RST";;;
26;"JP5,JP2,JP6,JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";4;"~";;;
27;"TP11,TP14";"TestPoint_Pad_D1.0mm";2;"UPDI";;;
28;"U10,U7";"SSOP-28_5.3x10.2mm_P0.65mm";2;"AVR32EA28";;;
29;"TP1";"TestPoint_Pad_D1.0mm";1;"GND";;;
30;"U8,U11";"TSSOP-20_4.4x6.5mm_P0.65mm";2;"MCP2515-xSO";;;
