Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",103.749999,-92.935000,0.000000,top
"C2","100n","C_0603_1608Metric",103.817497,-99.800000,0.000000,top
"C3","100n","C_0603_1608Metric",103.920000,-106.600000,0.000000,top
"C4","100n","C_0603_1608Metric",108.100000,-95.200000,0.000000,top
"C8","100n","C_0603_1608Metric",104.200000,-114.700000,-90.000000,top
"C12","10u","C_0603_1608Metric",122.225000,-100.675000,180.000000,top
"C13","10u","C_0603_1608Metric",122.075000,-94.950000,0.000000,top
"C14","10u","C_0603_1608Metric",121.275000,-107.450000,0.000000,top
"C15","100n","C_0603_1608Metric",117.775000,-111.200000,90.000000,top
"C16","10u","C_0603_1608Metric",119.000000,-95.200000,180.000000,top
"C17","10u","C_0603_1608Metric",120.400000,-113.200000,0.000000,top
"C18","100n","C_0603_1608Metric",125.575000,-97.175000,-90.000000,top
"C19","10u","C_0603_1608Metric",120.500000,-115.000000,0.000000,top
"D1","MBR0520","D_SOD-123",117.100000,-104.100000,-90.000000,top
"D2","1N5819WS","D_SOD-323",116.000000,-113.700000,0.000000,top
"D3","1N5819WS","D_SOD-323",116.000000,-115.700000,0.000000,top
"D4","MBR0520","D_SOD-123",119.400000,-104.150000,90.000000,top
"J1","C1","PinHeader_1x02_P1.00mm_Vertical",114.655000,-93.300000,-90.000000,top
"J2","C1","PinHeader_1x02_P1.00mm_Vertical",108.900000,-93.300000,-90.000000,top
"J3","SOLENOID  1 OUT","PinHeader_1x02_P1.00mm_Vertical",121.600000,-102.900000,90.000000,top
"J4","POWER CONNECTION","PinHeader_1x04_P1.00mm_Vertical",124.800000,-102.600000,0.000000,top
"J5","SSC1","PinHeader_1x04_P1.00mm_Vertical",101.100000,-93.260000,0.000000,top
"J6","SSC1","PinHeader_1x04_P1.00mm_Vertical",101.167498,-100.125000,0.000000,top
"J7","SSC1","PinHeader_1x04_P1.00mm_Vertical",101.270001,-106.925000,0.000000,top
"J8","Conn_01x05_Socket","PinHeader_1x05_P1.00mm_Vertical",115.800000,-96.000000,0.000000,top
"J9","Conn_01x05_Socket","PinHeader_1x05_P1.00mm_Vertical",115.750000,-107.500000,0.000000,top
"J10","SOLENOID 2 OUT","PinHeader_1x02_P1.00mm_Vertical",121.600000,-105.400000,90.000000,top
"J11","C1","PinHeader_1x02_P1.00mm_Vertical",120.400000,-93.300000,-90.000000,top
"L1","2.2u","L_Taiyo-Yuden_NR-30xx_HandSoldering",118.825000,-98.800000,-90.000000,top
"L2","2.2u","L_Taiyo-Yuden_NR-30xx_HandSoldering",124.775000,-109.700000,90.000000,top
"Q1","DMG1012T","SOT-523",114.800000,-102.850000,0.000000,top
"Q2","DMG1012T","SOT-523",114.795000,-105.000000,0.000000,top
"R1","10K","R_0402_1005Metric",116.055000,-93.100000,-90.000000,top
"R2","10K","R_0402_1005Metric",117.455000,-93.700000,180.000000,top
"R3","10K","R_0402_1005Metric",117.455000,-92.700000,180.000000,top
"R4","10K","R_0402_1005Metric",110.300000,-93.100000,-90.000000,top
"R5","10K","R_0402_1005Metric",111.700000,-93.700000,180.000000,top
