# 52 TUs analysed, manual overrides: /home/aren/Nextcloud/Clients/Internal/CCR_Electronics/DiveCANHeadRev2/Firmware/scripts/wcs_manual.msu
Translation Unit                                                        Function Name                                     Stack  Unresolved Dependencies
-----------------------------------------------------------------------------------------------------------------------------------------------------------
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_executing_entry                       unbounded:728  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_apply_broadcast                    unbounded:688  (__stack_chk_fail ,z_impl_k_sem_give)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_wait_frame                         unbounded:672  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_total_absolute.isra                   unbounded:632  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         calibrate_cell                            unbounded:608  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/consensus_subscriber.c                consensus_thread_fn                       unbounded:592  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/ppo2_autotune.c                       autotune_thread_fn                        unbounded:560  (__aeabi_fcmpun ,__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_state_did.c           UDS_StateDID_HandleRead                   unbounded:552  (__stack_chk_fail ,fcb_free_sector_cnt ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock ,z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/src/ppo2_control.c                        solenoid_fire_thread_fn                   unbounded:544  (__stack_chk_fail ,lroundf)
./Firmware/CMakeFiles/app.dir/src/ppo2_control.c                        ppo2_control_init                         unbounded:504  (__aeabi_fcmpun ,__stack_chk_fail ,z_impl_k_sem_give)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 fl_writer_thread                          unbounded:464  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_rx.c                  divecan_rx_thread                         unbounded:456  (__stack_chk_fail ,z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_rx.c                  divecan_rx_thread.part.0                  unbounded:448  (__stack_chk_fail ,z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/src/main.c                                preamble_line                             unbounded:416  (__stack_chk_fail ,log_source_id_get)
./Firmware/CMakeFiles/app.dir/src/ppo2_control.c                        ppo2_pid_thread_fn                        unbounded:408  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_state_did.c           handleControlStateDID.constprop           unbounded:392  (__stack_chk_fail ,fcb_free_sector_cnt ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock ,z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_backend.c         fl_process                                unbounded:368  (__stack_chk_fail ,log_msg_get_source_id ,log_output_msg_process ,log_source_id_get)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_parse_detailed_response            unbounded:344  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/option_bytes.c                        option_bytes_assert                       unbounded:344  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_parse_detailed_response.part.0     unbounded:336  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_math.c                    consensus_calculate                       unbounded:328  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/hw_version.c                          hw_version_init                           unbounded:328  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 fl_batch_flush                            unbounded:328  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_text                    unbounded:320  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/runtime_settings.c                    runtime_settings_load                     unbounded:312  (__aeabi_fcmpun ,__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_ota.c                 ota_awaiting_activate_run                 unbounded:312  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/ppo2_control.c                        inject_solenoid_off                       unbounded:304  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_cal_done_cb                        unbounded:304  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/drivers/solenoid/solenoid.c               solenoid_off                              unbounded:296  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_parse_simple_response              unbounded:296  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_load_cal                           unbounded:296  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/oxygen_cell_diveo2.c                  diveo2_set_cell_broadcast                 unbounded:288  (__stack_chk_fail ,z_impl_k_sem_give)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_ppo2_tx.c             divecan_ppo2_tx_thread                    unbounded:288  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_log_download.c        UDS_LogDownload_HandleRoutine             unbounded:264  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/power_management.c                    battery_monitor_thread                    unbounded:264  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp_tx_queue.c              tx_idle_run                               unbounded:264  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_record_boot_marker              unbounded:256  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/thread_analyzer_paced.c               paced_cb                                  unbounded:256  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_rx.c                  can_rx_callback                           unbounded:256  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeAutotuneControlDID                   unbounded:256  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock ,z_impl_k_sem_give)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_listeners.c       cell_listener_cb                          unbounded:256  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_cell_raw                unbounded:248  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/errors.c                              errors_init                               unbounded:248  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_listeners.c       consensus_listener_cb                     unbounded:248  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_restoring_on_fail_entry               unbounded:240  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/errors.c                              errors_init.part.0                        unbounded:240  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_rx.c                  cal_response_cb                           unbounded:240  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/divecan_rx.c                  RespPing.part.0                           unbounded:240  (__stack_chk_fail ,z_spin_lock_set_owner ,z_spin_lock_valid ,z_spin_unlock_valid)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp_tx_queue.c              tx_wait_fc_run                            unbounded:240  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds.c                     writeAutotuneControlDID.part.0            unbounded:240  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock ,z_impl_k_sem_give)
./Firmware/CMakeFiles/app.dir/src/factory_image_backend_flash.c         flash_backend_mark_captured               unbounded:232  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp.c                       isotp_receiving_run                       unbounded:232  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_ota.c                 ota_downloading_run                       unbounded:232  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_reader.c          flash_log_reader_resolve_boot_id          unbounded:224  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_reader.c          flash_log_reader_resolve_dive_id          unbounded:224  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_consensus               unbounded:224  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/drivers/ads1x1x/adc_ads1x1x_local.c       ads1x1x_init                              unbounded:224  (__stack_chk_fail ,z_impl_k_sem_give ,z_impl_k_sem_init ,z_impl_k_thread_create ,z_impl_k_thread_name_set)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_backing_up_entry                      unbounded:224  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_thread_fn                             unbounded:224  (__stack_chk_fail ,zbus_sub_wait_msg)
