Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BH-18650-PC2,1,Battery_Cell,C5290176
"C1, C10, C12, C13, C16, C19, C2, C3, C4, C5, C9",0603,11,100n,C14663
"C11, C14, C15, C17, C18, C20, C21, C22, C23, C8",0603,10,10u,C19702
"C6, C7",0603,2,20p,C363552
D1,D_SOD-123,1,MBR0520,C5204745
"D2, D3, D4, D5, D6, D7, D8, D9",0805,8,LED,C84256
J4,CONN9_0185-02_GSW,1,Micro_SD_Card,C5155564
"L1, L2, L3",L_4x4,3,2.2u,C701258
"R1, R10, R11, R12, R13, R16, R17, R18, R21, R22, R23, R24, R25, R26, R27, R28, R3, R40, R41, R43, R45, R46, R47, R5, R7, R8, R9",0402,27,10k,C26083
"R14, R15, R2, R29, R32, R33, R36, R37, R4, R42, R44, R6",0402,12,200,C25087
"R19, R48, R49, R50, R51, R52, R53",0402,7,800,C25130
R20,0402,1,560,C163460
"R30, R34, R38",0402,3,1M,C26083
R31,0402,1,100k,C140218
"R35, R39",0402,2,178k,C321342
"SW1, SW2",SW_SPST_EVQPE1,2,RST,C2915176
"U1, U2",TSSOP-10_3x3mm_P0.5mm,2,ADS1115IDGS,C37593
"U10, U8, U9",Texas_DRC0010J,3,TPS63000,C24966
U3,LQFP-64_10x10mm_P0.5mm,1,STM32L431RCTx,C92468
"U4, U6, U7",VSON-8_3.3x3.3mm_P0.65mm_NexFET,3,TPS2115,C140321
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN33X,C73651
Y1,Crystal_SMD_HC49-SD,1,8MHz,C963524
