Designator,Mid X,Mid Y,Rotation,Layer
BT1,135.65,-84.0,0.0,bottom
C1,174.75,-89.5,0.0,top
C10,142.475,-84.5,180.0,top
C11,163.983,-77.025,90.0,top
C12,97.0,-80.25,0.0,top
C13,163.05,-79.25,0.0,top
C14,169.983,-77.025,270.0,top
C15,171.483,-77.025,270.0,top
C16,130.9114,-88.1226,180.0,top
C17,124.6122,-91.9326,90.0,top
C18,123.0882,-91.9326,90.0,top
C19,122.5,-87.0,0.0,top
C2,174.75,-84.5,0.0,top
C20,128.67,-82.869,270.0,top
C21,130.194,-82.869,270.0,top
C22,130.124,-92.339,90.0,top
C23,123.082,-82.488,270.0,top
C3,174.75,-79.5,0.0,top
C4,165.1,-94.7,0.0,top
C5,163.0,-85.0,90.0,top
C6,149.6,-75.8,180.0,top
C7,133.0,-75.8,0.0,top
C8,163.0,-82.0,90.0,top
C9,142.75,-79.25,0.0,top
D1,182.5,-77.0,270.0,top
D2,131.0,-95.75,0.0,bottom
D3,134.5,-95.75,0.0,bottom
D4,138.0,-95.75,0.0,bottom
D5,141.5,-95.75,0.0,bottom
D6,145.0,-95.75,0.0,bottom
D7,148.5,-95.75,0.0,bottom
D8,152.0,-95.75,0.0,bottom
D9,155.5,-95.75,0.0,bottom
J1,190.0,-79.44,0.0,bottom
J2,180.0,-76.86,0.0,bottom
J3,83.0,-90.83,90.0,bottom
J4,118.050001,-94.5,180.0,top
L1,167.0,-73.517,180.0,top
L2,127.0728,-95.4496,0.0,top
L3,125.95,-78.95,180.0,top
R1,167.75,-86.0,0.0,top
R10,160.5,-87.99,270.0,top
R11,157.226,-74.168,0.0,top
R12,160.25,-82.76,0.0,top
R13,160.25,-83.8,180.0,top
R14,160.55,-78.65,0.0,top
R15,160.55,-77.65,180.0,top
R16,94.234,-89.916,90.0,top
R17,156.6,-77.5,180.0,top
R18,142.2,-86.75,180.0,top
R19,138.5316,-83.5152,0.0,top
R2,167.75,-85.0,180.0,top
R20,90.5,-83.75,90.0,top
R21,143.0,-91.99,90.0,top
R22,144.0,-92.0,90.0,top
R23,145.0,-92.0,90.0,top
R24,146.0,-92.0,90.0,top
R25,147.0,-92.0,90.0,top
R26,154.0,-92.99,90.0,top
R27,155.0,-93.0,90.0,top
R28,156.0,-93.0,90.0,top
R29,166.11,-79.949,180.0,top
R3,169.75,-92.5,0.0,top
R30,171.85,-79.0,180.0,top
R31,169.95,-79.0,180.0,top
R32,130.3526,-90.3578,0.0,top
R33,130.3526,-89.3418,0.0,top
R34,124.409,-88.91,0.0,top
R35,126.314,-88.91,0.0,top
R36,122.955,-84.52,180.0,top
R37,122.955,-85.536,180.0,top
R38,128.797,-86.044,180.0,top
R39,126.892,-86.044,180.0,top
R4,170.75,-90.25,180.0,top
R40,118.0,-96.5,270.0,top
R41,117.0,-96.49,270.0,top
R42,141.75,-88.5,180.0,top
R43,109.75,-96.5,180.0,top
R44,139.75,-88.5,180.0,top
R45,139.15,-92.25,0.0,top
R46,139.35,-81.1,180.0,top
R47,141.3,-81.1,180.0,top
R48,181.7,-91.55,270.0,top
R49,181.7,-89.64,90.0,top
R5,165.25,-86.0,0.0,top
R50,181.65,-87.1,270.0,top
R51,181.6,-83.55,270.0,top
R52,181.6,-81.65,270.0,top
R53,182.2,-80.05,180.0,top
R6,165.25,-85.0,180.0,top
R7,160.25,-92.99,0.0,top
R8,160.25,-92.0,0.0,top
R9,159.5,-88.0,270.0,top
SW1,95.758,-92.71,90.0,bottom
SW2,95.758,-84.6836,90.0,bottom
U1,165.35,-92.1,180.0,top
U10,125.87,-83.5,270.0,top
U2,165.35,-88.4,180.0,top
U3,151.5,-84.6,315.0,top
U4,160.383,-75.238,270.0,top
U5,94.75,-83.75,180.0,top
U6,136.5728,-89.87,90.0,top
U7,136.5504,-85.9536,90.0,top
U8,167.013,-77.525,270.0,top
U9,127.33,-91.45,90.0,top
Y1,141.3,-75.8,0.0,top
